"filename", "language", "XML", "JavaScript", "CSS", "SCSS", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\ketan\colon33\src\App.js", "JavaScript", 0, 31, 0, 0, 0, 1, 5, 37
"c:\Users\ketan\colon33\src\App.scss", "SCSS", 0, 0, 0, 3, 0, 4, 8, 15
"c:\Users\ketan\colon33\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\ketan\colon33\src\components\Aboutus\Aboutus.jsx", "JavaScript JSX", 0, 0, 0, 0, 41, 0, 5, 46
"c:\Users\ketan\colon33\src\components\Aboutus\Values\Values.jsx", "JavaScript JSX", 0, 0, 0, 0, 80, 0, 9, 89
"c:\Users\ketan\colon33\src\components\Aboutus\Values\values.scss", "SCSS", 0, 0, 0, 99, 0, 3, 22, 124
"c:\Users\ketan\colon33\src\components\Aboutus\aboutus.scss", "SCSS", 0, 0, 0, 6, 0, 0, 1, 7
"c:\Users\ketan\colon33\src\components\ApplicationEngg\ApplicationEngg.jsx", "JavaScript JSX", 0, 0, 0, 0, 81, 0, 12, 93
"c:\Users\ketan\colon33\src\components\ApplicationEngg\appengg.scss", "SCSS", 0, 0, 0, 8, 0, 0, 5, 13
"c:\Users\ketan\colon33\src\components\Careers\CareersTestimonials\CareersTestimonials.jsx", "JavaScript JSX", 0, 0, 0, 0, 96, 0, 15, 111
"c:\Users\ketan\colon33\src\components\Careers\CareersTestimonials\careerstestimonials.scss", "SCSS", 0, 0, 0, 208, 0, 2, 39, 249
"c:\Users\ketan\colon33\src\components\Careers\Carrers.jsx", "JavaScript JSX", 0, 0, 0, 0, 35, 0, 5, 40
"c:\Users\ketan\colon33\src\components\Careers\Network\Network.jsx", "JavaScript JSX", 0, 0, 0, 0, 26, 0, 5, 31
"c:\Users\ketan\colon33\src\components\Careers\Network\network.scss", "SCSS", 0, 0, 0, 54, 0, 0, 10, 64
"c:\Users\ketan\colon33\src\components\Careers\careers.scss", "SCSS", 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\ketan\colon33\src\components\Careers\cultureComp\CultureComp.jsx", "JavaScript JSX", 0, 0, 0, 0, 61, 0, 10, 71
"c:\Users\ketan\colon33\src\components\Careers\cultureComp\culture.scss", "SCSS", 0, 0, 0, 85, 0, 0, 12, 97
"c:\Users\ketan\colon33\src\components\CloudEngg\CloudEngg.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 2, 9
"c:\Users\ketan\colon33\src\components\CloudEngg\cloud.scss", "SCSS", 0, 0, 0, 2, 0, 0, 3, 5
"c:\Users\ketan\colon33\src\components\Home\Banner\Banner.jsx", "JavaScript JSX", 0, 0, 0, 0, 80, 25, 17, 122
"c:\Users\ketan\colon33\src\components\Home\Banner\banner.scss", "SCSS", 0, 0, 0, 148, 0, 10, 68, 226
"c:\Users\ketan\colon33\src\components\Home\Digital1\Digital1.jsx", "JavaScript JSX", 0, 0, 0, 0, 57, 0, 5, 62
"c:\Users\ketan\colon33\src\components\Home\Digital1\digital1.scss", "SCSS", 0, 0, 0, 79, 0, 7, 26, 112
"c:\Users\ketan\colon33\src\components\Home\DigitalTransformation\Digital.jsx", "JavaScript JSX", 0, 0, 0, 0, 51, 14, 14, 79
"c:\Users\ketan\colon33\src\components\Home\DigitalTransformation\digital.scss", "SCSS", 0, 0, 0, 104, 0, 7, 31, 142
"c:\Users\ketan\colon33\src\components\Home\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 25, 0, 2, 27
"c:\Users\ketan\colon33\src\components\Home\HomeCareers\HomeCareers.jsx", "JavaScript JSX", 0, 0, 0, 0, 35, 0, 7, 42
"c:\Users\ketan\colon33\src\components\Home\HomeCareers\homecareers.scss", "SCSS", 0, 0, 0, 73, 0, 2, 15, 90
"c:\Users\ketan\colon33\src\components\Home\Partners\Partners.jsx", "JavaScript JSX", 0, 0, 0, 0, 96, 0, 13, 109
"c:\Users\ketan\colon33\src\components\Home\Partners\partners.scss", "SCSS", 0, 0, 0, 92, 0, 6, 18, 116
"c:\Users\ketan\colon33\src\components\Home\Services\Services.jsx", "JavaScript JSX", 0, 0, 0, 0, 84, 1, 29, 114
"c:\Users\ketan\colon33\src\components\Home\Services\services.scss", "SCSS", 0, 0, 0, 188, 0, 44, 51, 283
"c:\Users\ketan\colon33\src\components\Home\Testimonials\Testimonials.jsx", "JavaScript JSX", 0, 0, 0, 0, 102, 0, 14, 116
"c:\Users\ketan\colon33\src\components\Home\Testimonials\testimonials.scss", "SCSS", 0, 0, 0, 103, 0, 5, 19, 127
"c:\Users\ketan\colon33\src\components\Home\home.scss", "SCSS", 0, 0, 0, 9, 0, 0, 2, 11
"c:\Users\ketan\colon33\src\components\Leadership\Leadership.jsx", "JavaScript JSX", 0, 0, 0, 0, 26, 2, 5, 33
"c:\Users\ketan\colon33\src\components\Leadership\LeadershipCarousal\LeadershipCarousal.jsx", "JavaScript JSX", 0, 0, 0, 0, 52, 3, 5, 60
"c:\Users\ketan\colon33\src\components\Leadership\LeadershipCarousal\carousal.scss", "SCSS", 0, 0, 0, 27, 0, 2, 8, 37
"c:\Users\ketan\colon33\src\components\Leadership\LeadershipDetails\LeadershipDetails.jsx", "JavaScript JSX", 0, 0, 0, 0, 130, 7, 25, 162
"c:\Users\ketan\colon33\src\components\Leadership\LeadershipDetails\leadershipDetails.scss", "SCSS", 0, 0, 0, 157, 0, 9, 34, 200
"c:\Users\ketan\colon33\src\components\Leadership\leadership.scss", "SCSS", 0, 0, 0, 6, 0, 0, 1, 7
"c:\Users\ketan\colon33\src\components\LetsTalk\Letstalk.jsx", "JavaScript JSX", 0, 0, 0, 0, 28, 0, 7, 35
