"filename", "language", "JavaScript", "CSS", "JavaScript JSX", "SCSS", "comment", "blank", "total"
"c:\Users\ketan\colon33\src\components\SubtoSubServices\HybridCloud\HybridCloud.jsx", "JavaScript JSX", 0, 0, 36, 0, 1, 5, 42
"c:\Users\ketan\colon33\src\components\SubtoSubServices\HybridCloud\hybridcloud.scss", "SCSS", 0, 0, 0, 8, 0, 0, 8
"c:\Users\ketan\colon33\src\components\SubtoSubServices\IAM\IAM.jsx", "JavaScript JSX", 0, 0, 72, 0, 1, 6, 79
"c:\Users\ketan\colon33\src\components\SubtoSubServices\IAM\iam.scss", "SCSS", 0, 0, 0, 8, 0, 0, 8
"c:\Users\ketan\colon33\src\components\SubtoSubServices\IOT\iot.jsx", "JavaScript JSX", 0, 0, 84, 0, 1, 5, 90
"c:\Users\ketan\colon33\src\components\SubtoSubServices\IOT\iot.scss", "SCSS", 0, 0, 0, 8, 0, 0, 8
"c:\Users\ketan\colon33\src\components\SubtoSubServices\IPA\IPA.jsx", "JavaScript JSX", 0, 0, 84, 0, 1, 5, 90
"c:\Users\ketan\colon33\src\components\SubtoSubServices\IPA\ipa.scss", "SCSS", 0, 0, 0, 8, 0, 0, 8
"c:\Users\ketan\colon33\src\components\SubtoSubServices\LegacyModernization\Legacy.jsx", "JavaScript JSX", 0, 0, 84, 0, 1, 5, 90
"c:\Users\ketan\colon33\src\components\SubtoSubServices\LegacyModernization\legacy.scss", "SCSS", 0, 0, 0, 8, 0, 0, 8
"c:\Users\ketan\colon33\src\components\SubtoSubServices\LowCode\Lodecode.jsx", "JavaScript JSX", 0, 0, 72, 0, 1, 6, 79
"c:\Users\ketan\colon33\src\components\SubtoSubServices\LowCode\lowcode.scss", "SCSS", 0, 0, 0, 8, 0, 0, 8
"c:\Users\ketan\colon33\src\components\SubtoSubServices\MachineLearning\MachineLearning.jsx", "JavaScript JSX", 0, 0, 72, 0, 1, 6, 79
"c:\Users\ketan\colon33\src\components\SubtoSubServices\MachineLearning\machinelearning.scss", "SCSS", 0, 0, 0, 8, 0, 0, 8
"c:\Users\ketan\colon33\src\components\SubtoSubServices\MobileApp\AppDevelopment.jsx", "JavaScript JSX", 0, 0, 72, 0, 1, 6, 79
"c:\Users\ketan\colon33\src\components\SubtoSubServices\MobileApp\appdev.scss", "SCSS", 0, 0, 0, 8, 0, 0, 8
"c:\Users\ketan\colon33\src\components\SubtoSubServices\NextGenSupport\NextGenSupport.jsx", "JavaScript JSX", 0, 0, 48, 0, 1, 5, 54
"c:\Users\ketan\colon33\src\components\SubtoSubServices\NextGenSupport\nextgensupport.scss", "SCSS", 0, 0, 0, 8, 0, 0, 8
"c:\Users\ketan\colon33\src\components\SubtoSubServices\Oracle\Oracle.jsx", "JavaScript JSX", 0, 0, 36, 0, 1, 5, 42
"c:\Users\ketan\colon33\src\components\SubtoSubServices\Oracle\oracle.scss", "SCSS", 0, 0, 0, 8, 0, 0, 8
"c:\Users\ketan\colon33\src\components\SubtoSubServices\ProductEngg\ProductEngg.jsx", "JavaScript JSX", 0, 0, 84, 0, 1, 5, 90
"c:\Users\ketan\colon33\src\components\SubtoSubServices\ProductEngg\productengg.scss", "SCSS", 0, 0, 0, 8, 0, 4, 12
"c:\Users\ketan\colon33\src\components\SubtoSubServices\QualityAssurance\QualityAssurance.jsx", "JavaScript JSX", 0, 0, 72, 0, 1, 6, 79
"c:\Users\ketan\colon33\src\components\SubtoSubServices\QualityAssurance\qualityassurance.scss", "SCSS", 0, 0, 0, 8, 0, 0, 8
"c:\Users\ketan\colon33\src\components\SubtoSubServices\SAP\Sap.jsx", "JavaScript JSX", 0, 0, 36, 0, 1, 5, 42
"c:\Users\ketan\colon33\src\components\SubtoSubServices\SAP\sap.scss", "SCSS", 0, 0, 0, 8, 0, 0, 8
"c:\Users\ketan\colon33\src\components\SubtoSubServices\SalesForce\SalesForce.jsx", "JavaScript JSX", 0, 0, 36, 0, 1, 5, 42
"c:\Users\ketan\colon33\src\components\SubtoSubServices\SalesForce\salesforce.scss", "SCSS", 0, 0, 0, 8, 0, 0, 8
"c:\Users\ketan\colon33\src\components\SubtoSubServices\ServiceNow\ServiceNow.jsx", "JavaScript JSX", 0, 0, 36, 0, 1, 5, 42
"c:\Users\ketan\colon33\src\components\SubtoSubServices\ServiceNow\servicenow.scss", "SCSS", 0, 0, 0, 8, 0, 0, 8
"c:\Users\ketan\colon33\src\components\SubtoSubServices\Workplace\Workplace.jsx", "JavaScript JSX", 0, 0, 60, 0, 1, 6, 67
"c:\Users\ketan\colon33\src\components\SubtoSubServices\Workplace\workplace.scss", "SCSS", 0, 0, 0, 8, 0, 0, 8
"c:\Users\ketan\colon33\src\components\common\DropdownMenu\DropdownServices.js", "JavaScript", 3, 0, 0, 0, 0, 0, 3
"c:\Users\ketan\colon33\src\components\common\DropdownMenu\DropdownServices1.js", "JavaScript", 105, 0, 0, 0, 0, 1, 106
"c:\Users\ketan\colon33\src\components\common\Navbar\Navbar.jsx", "JavaScript JSX", 0, 0, -5, 0, 5, 0, 0
"c:\Users\ketan\colon33\src\components\common\SubServicesCommon\SubServicesCommon.jsx", "JavaScript JSX", 0, 0, 4, 0, 0, 0, 4
"c:\Users\ketan\colon33\src\components\common\SubServicesCommon\SubServicesDesc\SubServicesDesc.jsx", "JavaScript JSX", 0, 0, 0, 0, -56, -1, -57
"c:\Users\ketan\colon33\src\components\common\SubtoSubServicesCommon\SubtoSubServicesCommon.jsx", "JavaScript JSX", 0, 0, 27, 0, 72, 4, 103
"c:\Users\ketan\colon33\src\components\common\SubtoSubServicesCommon\SubtoSubServicesDesc\SubtoSubServicesDesc.jsx", "JavaScript JSX", 0, 0, 49, 0, 4, 19, 72
